neuron,class,in_degree,out_degree,degree_centrality,in_degree_centrality,out_degree_centrality,closeness_centrality,pagerank
ALML,sensory,2,5,0.466667,0.133333,0.333333,0.348837,0.015373
ALMR,sensory,2,3,0.333333,0.133333,0.2,0.5,0.025425
AVAL,interneuron,12,9,1.4,0.8,0.6,0.833333,0.106786
AVAR,interneuron,12,9,1.4,0.8,0.6,0.833333,0.106786
AVBL,interneuron,8,6,0.933333,0.533333,0.4,0.681818,0.076793
AVBR,interneuron,6,5,0.733333,0.4,0.333333,0.625,0.055488
AVDL,interneuron,11,6,1.133333,0.733333,0.4,0.789474,0.089383
AVDR,interneuron,13,7,1.333333,0.866667,0.466667,0.882353,0.104302
AVM,sensory,3,8,0.733333,0.2,0.533333,0.517241,0.031855
DVA,modulatory,7,7,0.933333,0.466667,0.466667,0.652174,0.060369
PLML,sensory,5,6,0.733333,0.333333,0.4,0.6,0.062194
PLMR,sensory,2,6,0.533333,0.133333,0.4,0.535714,0.026573
PVCL,interneuron,11,10,1.4,0.733333,0.666667,0.75,0.086127
PVCR,interneuron,12,11,1.533333,0.8,0.733333,0.833333,0.092053
PVDL,sensory,3,7,0.666667,0.2,0.466667,0.555556,0.030246
PVDR,sensory,3,7,0.666667,0.2,0.466667,0.555556,0.030246
