pre,post,synapses,types
ALML,ALML,1,chemical
ALML,AVDR,3,chemical
ALML,AVM,14,electrical
ALML,PVCL,11,chemical
ALML,PVCR,4,chemical
ALMR,AVDR,4,electrical
ALMR,AVM,32,electrical
ALMR,PVCR,10,chemical
AVAL,AVAR,48,"chemical,electrical"
AVAL,AVBL,2,chemical
AVAL,AVDL,17,"chemical,electrical"
AVAL,AVDR,20,"chemical,electrical"
AVAL,PLML,4,electrical
AVAL,PLMR,2,electrical
AVAL,PVCL,31,"chemical,electrical"
AVAL,PVCR,46,"chemical,electrical"
AVAL,PVDR,12,electrical
AVAR,AVAL,43,"chemical,electrical"
AVAR,AVBL,9,"chemical,electrical"
AVAR,AVBR,4,chemical
AVAR,AVDL,7,"chemical,electrical"
AVAR,AVDR,36,"chemical,electrical"
AVAR,PLML,6,electrical
AVAR,PVCL,40,"chemical,electrical"
AVAR,PVCR,64,"chemical,electrical"
AVAR,PVDL,8,electrical
AVBL,AVAL,9,chemical
AVBL,AVAR,20,"chemical,electrical"
AVBL,AVBR,42,"chemical,electrical"
AVBL,AVDR,3,chemical
AVBL,DVA,24,"chemical,electrical"
AVBL,PVCR,2,chemical
AVBR,AVAL,10,chemical
AVBR,AVAR,14,chemical
AVBR,AVBL,38,"chemical,electrical"
AVBR,AVDL,4,chemical
AVBR,DVA,6,electrical
AVDL,AVAL,51,"chemical,electrical"
AVDL,AVAR,41,"chemical,electrical"
AVDL,AVDR,17,"chemical,electrical"
AVDL,AVM,16,electrical
AVDL,PLML,6,electrical
AVDL,PVCL,1,chemical
AVDR,ALMR,4,electrical
AVDR,AVAL,59,"chemical,electrical"
AVDR,AVAR,82,"chemical,electrical"
AVDR,AVBL,1,chemical
AVDR,AVDL,15,"chemical,electrical"
AVDR,PLML,4,electrical
AVDR,PVCR,6,"chemical,electrical"
AVM,ALML,14,electrical
AVM,ALMR,32,electrical
AVM,AVBL,13,chemical
AVM,AVBR,9,chemical
AVM,AVDL,17,"chemical,electrical"
AVM,AVDR,1,chemical
AVM,PVCL,10,chemical
AVM,PVCR,17,chemical
DVA,AVAL,6,chemical
DVA,AVAR,2,chemical
DVA,AVBL,23,"chemical,electrical"
DVA,AVBR,7,"chemical,electrical"
DVA,AVDR,2,chemical
DVA,PVCL,10,"chemical,electrical"
DVA,PVCR,3,"chemical,electrical"
PLML,AVAL,8,"chemical,electrical"
PLML,AVAR,11,"chemical,electrical"
PLML,AVDL,6,electrical
PLML,AVDR,9,"chemical,electrical"
PLML,DVA,9,chemical
PLML,PVCL,8,electrical
PLMR,AVAL,5,"chemical,electrical"
PLMR,AVAR,5,chemical
PLMR,AVDL,8,chemical
PLMR,AVDR,5,chemical
PLMR,DVA,19,chemical
PLMR,PVCR,16,electrical
PVCL,AVAL,15,"chemical,electrical"
PVCL,AVAR,27,"chemical,electrical"
PVCL,AVBL,7,chemical
PVCL,AVBR,27,chemical
PVCL,AVDL,7,chemical
PVCL,AVDR,11,chemical
PVCL,DVA,10,"chemical,electrical"
PVCL,PLML,8,electrical
PVCL,PVCL,1,chemical
PVCL,PVCR,144,"chemical,electrical"
PVCR,AVAL,40,"chemical,electrical"
PVCR,AVAR,49,"chemical,electrical"
PVCR,AVBL,21,chemical
PVCR,AVBR,14,chemical
PVCR,AVDL,16,chemical
PVCR,AVDR,10,"chemical,electrical"
PVCR,DVA,5,"chemical,electrical"
PVCR,PLMR,16,electrical
PVCR,PVCL,139,"chemical,electrical"
PVCR,PVDL,4,"chemical,electrical"
PVCR,PVDR,5,"chemical,electrical"
PVDL,AVAL,13,chemical
PVDL,AVAR,37,"chemical,electrical"
PVDL,AVDL,1,chemical
PVDL,AVDR,1,chemical
PVDL,PVCL,13,chemical
PVDL,PVCR,38,"chemical,electrical"
PVDL,PVDR,16,"chemical,electrical"
PVDR,AVAL,21,"chemical,electrical"
PVDR,AVAR,30,chemical
PVDR,AVDL,1,chemical
PVDR,DVA,5,chemical
PVDR,PVCL,29,chemical
PVDR,PVCR,33,"chemical,electrical"
PVDR,PVDL,8,"chemical,electrical"
